datetime,venueId,total,dwell,Sensor Name,Sensor Type,Lat Long,avg_dwell,Latitude,Longitude,date,time,hour
2022-12-14 14:00:00+11:00,7780,222,76368,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-14,14:00:00,14
2022-12-14 13:00:00+11:00,7780,221,68068,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-14,13:00:00,13
2022-12-14 05:00:00+11:00,7780,10,7200,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",12.0,-37.8025805,144.9656012,2022-12-14,05:00:00,5
2022-12-14 16:00:00+11:00,7780,211,88409,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-12-14,16:00:00,16
2022-12-15 14:00:00+11:00,7780,220,53900,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-12-15,14:00:00,14
2022-12-15 15:00:00+11:00,7780,284,101956,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-15,15:00:00,15
2022-12-15 05:00:00+11:00,7780,11,3003,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-12-15,05:00:00,5
2022-12-18 06:00:00+11:00,7780,10,2100,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-12-18,06:00:00,6
2022-12-18 22:00:00+11:00,7780,196,18424,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2022-12-18,22:00:00,22
2022-12-20 07:00:00+11:00,7780,34,14110,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-12-20,07:00:00,7
2022-12-20 22:00:00+11:00,7780,75,23250,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-20,22:00:00,22
2022-12-20 23:00:00+11:00,7780,24,2640,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2022-12-20,23:00:00,23
2022-12-20 17:00:00+11:00,7780,444,198468,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-12-20,17:00:00,17
2022-12-20 10:00:00+11:00,7780,153,88434,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",9.0,-37.8025805,144.9656012,2022-12-20,10:00:00,10
2022-12-20 12:00:00+11:00,7780,321,130005,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-12-20,12:00:00,12
2022-12-26 00:00:00+11:00,7780,38,8284,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-12-26,00:00:00,0
2022-12-26 20:00:00+11:00,7780,126,38556,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-26,20:00:00,20
2022-12-26 02:00:00+11:00,7780,19,5700,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-26,02:00:00,2
2022-12-26 09:00:00+11:00,7780,33,7920,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-12-26,09:00:00,9
2022-12-05 15:00:00+11:00,7780,121,32428,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-12-05,15:00:00,15
2022-12-10 01:00:00+11:00,7780,61,9516,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2022-12-10,01:00:00,1
2022-12-10 07:00:00+11:00,7780,47,14617,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-10,07:00:00,7
2022-12-10 03:00:00+11:00,7780,18,4914,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-12-10,03:00:00,3
2022-12-13 07:00:00+11:00,7780,69,34983,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2022-12-13,07:00:00,7
2022-12-13 00:00:00+11:00,7780,31,6417,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-12-13,00:00:00,0
2022-12-23 09:00:00+11:00,7780,98,10682,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2022-12-23,09:00:00,9
2022-12-26 12:00:00+11:00,7780,86,27004,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-26,12:00:00,12
2022-12-26 08:00:00+11:00,7780,84,37464,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-12-26,08:00:00,8
2022-12-26 23:00:00+11:00,7780,29,2030,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2022-12-26,23:00:00,23
2022-12-26 11:00:00+11:00,7780,69,26565,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-12-26,11:00:00,11
2022-12-22 03:00:00+11:00,7780,13,5759,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-12-22,03:00:00,3
2022-12-22 06:00:00+11:00,7780,27,9126,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-22,06:00:00,6
2022-12-25 07:00:00+11:00,7780,21,8946,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-12-25,07:00:00,7
2022-12-25 13:00:00+11:00,7780,94,20774,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-12-25,13:00:00,13
2022-12-25 16:00:00+11:00,7780,67,31691,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-12-25,16:00:00,16
2022-12-25 20:00:00+11:00,7780,180,64440,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-25,20:00:00,20
2022-12-25 22:00:00+11:00,7780,102,38964,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-12-25,22:00:00,22
2022-12-15 04:00:00+11:00,7780,9,3600,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-12-15,04:00:00,4
2022-12-15 01:00:00+11:00,7780,15,4320,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-12-15,01:00:00,1
2022-12-15 13:00:00+11:00,7780,252,108864,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-12-15,13:00:00,13
2022-12-15 16:00:00+11:00,7780,286,104676,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-12-15,16:00:00,16
2022-12-15 23:00:00+11:00,7780,28,4564,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2022-12-15,23:00:00,23
2022-12-16 23:00:00+11:00,7780,59,5074,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2022-12-16,23:00:00,23
2022-12-16 01:00:00+11:00,7780,18,4140,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-12-16,01:00:00,1
2022-12-16 14:00:00+11:00,7780,244,83692,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-16,14:00:00,14
2022-12-16 13:00:00+11:00,7780,251,86344,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-12-16,13:00:00,13
2022-12-17 01:00:00+11:00,7780,24,3552,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2022-12-17,01:00:00,1
2022-01-10 01:00:00+11:00,7780,5,0,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",0.0,-37.8025805,144.9656012,2022-01-10,01:00:00,1
2022-01-13 16:00:00+11:00,7780,81,26973,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-01-13,16:00:00,16
2022-01-13 21:00:00+11:00,7780,144,33840,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-01-13,21:00:00,21
2022-01-19 06:00:00+11:00,7780,11,2222,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-01-19,06:00:00,6
2022-01-18 08:00:00+11:00,7780,66,16368,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-01-18,08:00:00,8
2022-01-18 21:00:00+11:00,7780,62,20398,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-01-18,21:00:00,21
2022-01-16 07:00:00+11:00,7780,17,11696,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",11.0,-37.8025805,144.9656012,2022-01-16,07:00:00,7
2022-01-16 12:00:00+11:00,7780,87,30363,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-01-16,12:00:00,12
2022-01-22 10:00:00+11:00,7780,103,37286,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-01-22,10:00:00,10
2022-01-23 12:00:00+11:00,7780,95,34295,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-01-23,12:00:00,12
2022-01-23 10:00:00+11:00,7780,55,27280,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2022-01-23,10:00:00,10
2022-01-23 11:00:00+11:00,7780,93,30411,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-01-23,11:00:00,11
2022-01-21 11:00:00+11:00,7780,84,14700,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2022-01-21,11:00:00,11
2022-01-21 07:00:00+11:00,7780,52,17056,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-01-21,07:00:00,7
2022-01-21 03:00:00+11:00,7780,5,300,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2022-01-21,03:00:00,3
2022-01-20 14:00:00+11:00,7780,105,55335,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2022-01-20,14:00:00,14
2022-01-20 03:00:00+11:00,7780,13,5460,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-01-20,03:00:00,3
2022-01-26 13:00:00+11:00,7780,123,22632,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-01-26,13:00:00,13
2022-01-26 07:00:00+11:00,7780,32,12352,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-01-26,07:00:00,7
2022-01-25 17:00:00+11:00,7780,156,59124,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-01-25,17:00:00,17
2022-01-28 18:00:00+11:00,7780,74,17908,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-01-28,18:00:00,18
2022-01-29 18:00:00+11:00,7780,193,55198,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-01-29,18:00:00,18
2022-01-30 18:00:00+11:00,7780,224,81536,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-01-30,18:00:00,18
2022-01-30 22:00:00+11:00,7780,221,97461,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-01-30,22:00:00,22
2022-01-30 20:00:00+11:00,7780,231,61446,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-01-30,20:00:00,20
2022-01-30 05:00:00+11:00,7780,6,1740,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-01-30,05:00:00,5
2022-01-30 03:00:00+11:00,7780,19,3667,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-01-30,03:00:00,3
2022-01-30 06:00:00+11:00,7780,9,2520,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-01-30,06:00:00,6
2022-02-02 11:00:00+11:00,7780,171,63612,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-02-02,11:00:00,11
2022-02-02 17:00:00+11:00,7780,88,24904,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-02,17:00:00,17
2022-02-02 01:00:00+11:00,7780,3,0,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",0.0,-37.8025805,144.9656012,2022-02-02,01:00:00,1
2022-01-31 17:00:00+11:00,7780,97,31913,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-01-31,17:00:00,17
2022-01-31 07:00:00+11:00,7780,67,30083,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-01-31,07:00:00,7
2022-02-03 05:00:00+11:00,7780,11,2101,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-03,05:00:00,5
2022-02-03 10:00:00+11:00,7780,102,22134,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-03,10:00:00,10
2022-02-08 04:00:00+11:00,7780,9,4023,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-02-08,04:00:00,4
2022-02-08 01:00:00+11:00,7780,9,1980,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-08,01:00:00,1
2022-02-08 23:00:00+11:00,7780,60,27300,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-02-08,23:00:00,23
2022-02-08 18:00:00+11:00,7780,120,33600,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-08,18:00:00,18
2022-02-08 12:00:00+11:00,7780,135,49005,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-02-08,12:00:00,12
2022-02-05 13:00:00+11:00,7780,101,53126,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2022-02-05,13:00:00,13
2022-02-05 07:00:00+11:00,7780,34,21726,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",10.0,-37.8025805,144.9656012,2022-02-05,07:00:00,7
2022-02-05 00:00:00+11:00,7780,66,9504,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2022-02-05,00:00:00,0
2022-02-05 16:00:00+11:00,7780,147,66003,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-02-05,16:00:00,16
2022-02-07 22:00:00+11:00,7780,58,17052,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-07,22:00:00,22
2022-02-07 23:00:00+11:00,7780,40,13080,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-02-07,23:00:00,23
2022-02-06 07:00:00+11:00,7780,20,12180,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",10.0,-37.8025805,144.9656012,2022-02-06,07:00:00,7
2022-02-12 18:00:00+11:00,7780,299,181493,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",10.0,-37.8025805,144.9656012,2022-02-12,18:00:00,18
2022-02-12 09:00:00+11:00,7780,72,12600,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2022-02-12,09:00:00,9
2022-02-12 22:00:00+11:00,7780,204,71196,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-02-12,22:00:00,22
2022-02-12 19:00:00+11:00,7780,560,164640,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-12,19:00:00,19
2022-02-11 08:00:00+11:00,7780,138,39468,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-11,08:00:00,8
2022-02-11 00:00:00+11:00,7780,21,2457,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",1.0,-37.8025805,144.9656012,2022-02-11,00:00:00,0
2022-02-11 05:00:00+11:00,7780,6,3960,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",11.0,-37.8025805,144.9656012,2022-02-11,05:00:00,5
2022-02-09 15:00:00+11:00,7780,190,33630,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2022-02-09,15:00:00,15
2022-02-09 17:00:00+11:00,7780,158,47400,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-02-09,17:00:00,17
2022-02-09 11:00:00+11:00,7780,209,70642,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-02-09,11:00:00,11
2022-02-10 16:00:00+11:00,7780,195,41925,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-10,16:00:00,16
2022-02-14 10:00:00+11:00,7780,117,24453,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-14,10:00:00,10
2022-02-14 06:00:00+11:00,7780,30,13140,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",7.0,-37.8025805,144.9656012,2022-02-14,06:00:00,6
2022-02-13 08:00:00+11:00,7780,38,11818,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-02-13,08:00:00,8
2022-02-13 02:00:00+11:00,7780,32,11232,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-02-13,02:00:00,2
2022-02-17 14:00:00+11:00,7780,144,51984,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-02-17,14:00:00,14
2022-02-16 21:00:00+11:00,7780,79,20303,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-16,21:00:00,21
2022-02-21 17:00:00+11:00,7780,128,31744,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-21,17:00:00,17
2022-02-21 12:00:00+11:00,7780,157,48513,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-02-21,12:00:00,12
2022-02-21 10:00:00+11:00,7780,103,28016,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-21,10:00:00,10
2022-02-20 06:00:00+11:00,7780,10,1920,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-20,06:00:00,6
2022-02-20 08:00:00+11:00,7780,58,22794,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",6.0,-37.8025805,144.9656012,2022-02-20,08:00:00,8
2022-02-20 10:00:00+11:00,7780,63,15309,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-20,10:00:00,10
2022-02-19 23:00:00+11:00,7780,85,15810,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-19,23:00:00,23
2022-02-23 18:00:00+11:00,7780,106,16218,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",2.0,-37.8025805,144.9656012,2022-02-23,18:00:00,18
2022-02-23 06:00:00+11:00,7780,24,13560,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",9.0,-37.8025805,144.9656012,2022-02-23,06:00:00,6
2022-02-22 19:00:00+11:00,7780,167,34569,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-22,19:00:00,19
2022-02-22 00:00:00+11:00,7780,17,8704,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",8.0,-37.8025805,144.9656012,2022-02-22,00:00:00,0
2022-02-28 12:00:00+11:00,7780,196,53704,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-28,12:00:00,12
2022-02-28 17:00:00+11:00,7780,163,39772,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-28,17:00:00,17
2022-02-28 00:00:00+11:00,7780,17,5525,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",5.0,-37.8025805,144.9656012,2022-02-28,00:00:00,0
2022-02-25 18:00:00+11:00,7780,131,35894,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",4.0,-37.8025805,144.9656012,2022-02-25,18:00:00,18
2022-02-25 02:00:00+11:00,7780,9,1863,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-25,02:00:00,2
2022-02-26 15:00:00+11:00,7780,260,58500,Pedestrian Sensor-Argyle Sq,Mobile phone counting,"-37.8025805, 144.9656012",3.0,-37.8025805,144.9656012,2022-02-26,15:00:00,15
